date,VIX_cboe,SMB_fama,HML_fama,MKT_fama,MOM_fama,STR_fama,RVAR_fama,BAB_aqr,QMJ_aqr,Term_Spread_fred,Credit_Spread_fred,Treasury_10yr_fred,Tbill_3mo_fred,Oil_Price_fred,Dollar_Index_fred,TED_Spread_fred,Skew_cboe,CF_Leverage_fred,TS_MOM_aqr,MOM_CM_aqr,MOM_EQ_aqr,MOM_FI_aqr,MOM_FX_aqr,HMLD_aqr,ECU_epu,MACVOL_fred,Bullish_Aver_aaii,Neutral_Aver_aaii,Bearish_Aver_aaii,Spread_Aver_aaii,BB_Ratio_Aver_aaii,MAVB_8week_aaii,MACVOL_annualized_fred
1990-01,19.21685237937651,-0.67,-0.07,1.44,-1.09,1.32,-11.4,-0.22,0.9,0.11,1.91,7.94,7.83,0.700844127906469,0.0699390439536694,0.8,118.79857945961002,0.355426387501036,-0.63,1.9,7.2,1.4,-2.2,1.65,122.50137712584828,4.53232,0.35,0.3875,0.2625,0.0874999999999999,1.3333333333333333,0.3496875,8.139375990600167
1990-02,17.239999771118164,0.57,0.01,0.08,0.56,0.57,2.68,-1.35,-0.76,0.4,1.68,8.42,8.02,-3.281178552257502,0.0630990966140387,0.62,123.099998,0.3558861382035632,0.86,-7.0,6.9,0.3,0.8,-0.89,111.2474533881572,3.73115,0.2025,0.37,0.4275,-0.2249999999999999,0.4736842105263158,0.3018749999999999,8.139375990600167
1990-03,24.8700008392334,-0.05,-0.13,0.26,0.29,0.21,2.76,-0.21,1.97,0.51,1.61,8.59,8.08,-7.802074468741127,2.175144065820578,0.57,111.330002,0.3419341117819718,4.88,-4.7,4.3,0.3,2.8,-3.24,109.25185827170856,3.11836,0.278,0.376,0.346,-0.0679999999999999,0.8034682080924856,0.23625,8.139375990600167
1990-04,21.89999961853028,-0.41,-0.06,-0.42,0.17,0.17,-3.61,-2.46,2.76,0.6,1.59,8.65,8.05,-2.1777667773225877,-0.0602554561540458,0.78,110.489998,0.3117703998736467,-1.59,-3.8,-8.2,-1.6,2.0,-3.59,112.73477012111026,2.88701,0.3175,0.4275,0.255,0.0625,1.2450980392156863,0.2921875,8.139375990600167
1990-05,22.84000015258789,-0.23,-0.11,0.42,0.31,0.29,8.66,-2.01,0.09,0.89,1.47,9.08,8.19,-1.7456636407982784,-1.535978222967116,0.77,120.209999,0.2957698244033796,-4.88,-4.2,-2.2,-1.4,-1.4,-4.35,121.6544305521303,2.64689,0.31,0.35,0.34,-0.03,0.9117647058823528,0.308125,8.139375990600167
1990-06,18.43000030517578,-0.07,0.12,0.53,-0.19,0.29,-0.22,1.33,1.55,0.5,1.79,8.44,7.94,-14.800999148127593,0.3604251989193008,0.7,107.309998,0.3035386730093498,1.0,1.4,1.6,-1.1,0.6,-1.94,119.37623569775934,2.89204,0.36,0.316,0.324,0.0359999999999999,1.111111111111111,0.333,8.139375990600167
1990-07,17.09000015258789,-0.38,-0.13,0.3,0.8,-0.02,-6.29,0.47,2.36,0.43,1.78,8.43,8.0,10.535056785769846,-2.529282535201638,0.57,132.070007,0.3451398564764643,3.39,9.9,3.2,1.3,3.2,-0.31,125.70758080823067,3.55094,0.4,0.295,0.305,0.095,1.3114754098360657,0.363125,8.139375990600167
1990-08,16.260000228881836,-0.31,-0.06,-0.2,0.29,-0.34,-14.1,-2.07,1.64,0.62,1.82,8.29,7.67,47.97473058342625,-2.256011398007696,0.58,119.480003,0.3826142300661321,10.98,6.8,-3.9,0.2,1.6,1.11,214.89503986639792,7.90333,0.2339999999999999,0.224,0.542,-0.308,0.4317343173431733,0.33325,8.139375990600167
1990-09,21.63999938964844,-0.35,-0.28,0.09,0.31,0.18,-10.98,0.05,4.38,1.26,1.67,8.9,7.64,22.704873660579228,-1.1438853390555392,0.67,113.239998,0.4039050661712619,5.06,22.1,-0.1,1.0,-1.5,-1.64,165.30041517212558,7.61926,0.22,0.255,0.525,-0.305,0.419047619047619,0.255625,8.139375990600167
1990-10,29.57999992370605,-1.5,-1.23,2.74,-0.36,1.88,-6.77,-4.05,4.3,1.34,1.96,8.71,7.37,7.556711832847296,-3.0414625125997463,1.0,113.970001,0.394162729855804,-3.92,-1.5,-3.1,-1.3,0.8,-3.41,207.685470539916,8.27623,0.18,0.23,0.59,-0.41,0.3050847457627119,0.2065624999999999,8.139375990600167
